Z Scores,Price,Count,0.038590221,-0.001542183
0.117702951,0.003,44,,
0.06587635,0.001,43,,
0.45457586,0.016,16,,
-0.141430056,-0.007,24,,
0.039963049,0,35,,
-1.851707903,-0.073,1,,
0.09178965,0.002,36,,
0.506402462,0.018,8,,
-0.089603455,-0.005,30,,
0.09178965,0.002,36,,
0.45457586,0.016,16,,
-0.193256657,-0.009,25,,
-0.167343357,-0.008,31,,
0.247269455,0.008,28,,
-0.27099656,-0.012,28,,
0.299096056,0.01,17,,
0.79144877,0.029,6,,
0.221356154,0.007,25,,
0.09178965,0.002,36,,
0.09178965,0.002,36,,
-0.063690154,-0.004,41,,
0.221356154,0.007,25,,
-0.29690986,-0.013,26,,
0.06587635,0.001,43,,
1.102408378,0.041,6,,
-0.478302965,-0.02,11,,
0.273182755,0.009,32,,
-0.167343357,-0.008,31,,
-0.167343357,-0.008,31,,
0.635968965,0.023,10,,
-1.02248228,-0.041,9,,
0.81736207,0.03,7,,
0.143616252,0.004,37,,
-0.037776853,-0.003,37,,
2.734946323,0.104,1,,
-0.037776853,-0.003,37,,
0.117702951,0.003,44,,
0.273182755,0.009,32,,
-1.514834994,-0.06,5,,
0.195442853,0.006,34,,
-0.193256657,-0.009,25,,
0.739622168,0.027,7,,
-0.400563063,-0.017,18,,
-0.867002476,-0.035,6,,
0.998755175,0.037,5,,
-0.63378277,-0.026,13,,
1.15423498,0.043,4,,
-1.955361106,-0.077,2,,
1.620674393,0.061,2,,
-0.167343357,-0.008,31,,
1.776154197,0.067,4,,
-0.530129567,-0.022,17,,
0.273182755,0.009,32,,
-0.892915777,-0.036,3,,
1.646587693,0.062,3,,
-2.447713819,-0.096,2,,
-0.063690154,-0.004,41,,
-1.177962085,-0.047,8,,
-2.188580812,-0.086,3,,
-0.063690154,-0.004,41,,
0.143616252,0.004,37,,
0.610055665,0.022,8,,
1.361541385,0.051,5,,
-0.530129567,-0.022,17,,
0.45457586,0.016,16,,
0.946928574,0.035,5,,
-0.918829077,-0.037,9,,
-0.115516755,-0.006,36,,
0.45457586,0.016,16,,
2.009373903,0.076,3,,
1.491107889,0.056,1,,
-0.426476364,-0.018,13,,
1.853894099,0.07,4,,
0.273182755,0.009,32,,
-0.99656898,-0.04,11,,
1.827980798,0.069,6,,
-0.089603455,-0.005,30,,
-2.732760127,-0.107,2,,
-0.27099656,-0.012,28,,
1.465194588,0.055,3,,
-1.02248228,-0.041,9,,
3.538258645,0.135,1,,
-0.089603455,-0.005,30,,
1.750240896,0.066,2,,
-1.074308882,-0.043,7,,
2.320333512,0.088,3,,
4.574790674,0.175,2,,
-0.219169958,-0.01,31,,
0.06587635,0.001,43,,
0.350922658,0.012,16,,
0.169529553,0.005,31,,
3.071819232,0.117,1,,
0.325009357,0.011,21,,
0.169529553,0.005,31,,
-0.011863552,-0.002,37,,
-0.011863552,-0.002,37,,
